"","COUNTRY","DX_GROUP","LONG","LAT","YEAR_START","total","positive","prev","year","prev2"
"1","AGO","nod",12.216667,-5.6999,2014,130,7,0.0538461538461538,"2010s",5.38461538461539
"2","AGO","nod",13.161792,-7.946397,2014,33,0,0,"2010s",0
"3","AGO","nod",13.226874,-8.813726,2014,50,3,0.06,"2010s",6
"4","AGO","nod",13.608112,-8.596308,2014,34,1,0.0294117647058824,"2010s",2.94117647058824
"5","AGO","nod",13.660962,-8.582633,2014,452,25,0.0553097345132743,"2010s",5.53097345132743
"6","AGO","nod",13.915854,-8.528618,2014,486,26,0.0534979423868313,"2010s",5.34979423868313
"7","AGO","nod",14.29058,-8.12286,2014,74,5,0.0675675675675676,"2010s",6.75675675675676
"8","AGO","nod",14.466592,-8.709254,2014,63,3,0.0476190476190476,"2010s",4.76190476190476
"9","AGO","nod",14.80314,-8.674045,2014,86,5,0.0581395348837209,"2010s",5.81395348837209
"10","BDI","eye",29.283333,-3,1979,40,0,0,"1970s",0
"11","BDI","eye",29.343333,-2.88,1979,16,0,0,"1970s",0
"12","BDI","eye",29.445833,-3.945833,1979,57,0,0,"1970s",0
"13","BDI","eye",29.445833,-3.427778,1979,27,0,0,"1970s",0
"14","BDI","eye",29.45,-4,1979,62,0,0,"1970s",0
"15","BDI","nod",29.283333,-3,1979,40,25,0.625,"1970s",62.5
"16","BDI","nod",29.343333,-2.88,1979,16,7,0.4375,"1970s",43.75
"17","BDI","nod",29.4,-3.078333,1979,21,9,0.428571428571429,"1970s",42.8571428571429
"18","BDI","nod",29.443333,-3.056667,1979,24,7,0.291666666666667,"1970s",29.1666666666667
"19","BDI","nod",29.445833,-3.945833,1979,57,29,0.508771929824561,"1970s",50.8771929824561
"20","BDI","nod",29.445833,-3.427778,1979,27,7,0.259259259259259,"1970s",25.9259259259259
"21","BDI","nod",29.45,-4,1979,62,17,0.274193548387097,"1970s",27.4193548387097
"22","BDI","otherPrev",29.283333,-3,1979,40,22,0.55,"1970s",55
"23","BDI","otherPrev",29.29626,-3.122925,1990,161,48,0.298136645962733,"1990s",29.8136645962733
"24","BDI","otherPrev",29.394181,-3.324494,1987,191,172,0.900523560209424,"1980s",90.0523560209424
"25","BDI","otherPrev",29.394181,-3.324494,1994,189,101,0.534391534391534,"1990s",53.4391534391534
"26","BDI","otherPrev",29.445833,-3.945833,1979,57,41,0.719298245614035,"1970s",71.9298245614035
"27","BDI","otherPrev",29.445833,-3.427778,1979,27,5,0.185185185185185,"1970s",18.5185185185185
"28","BDI","otherPrev",29.45,-4,1979,62,26,0.419354838709677,"1970s",41.9354838709677
"29","BDI","otherPrev",29.484354,-4.042144,1988,160,60,0.375,"1980s",37.5
"30","BDI","otherPrev",29.5138889,-3.887222,1993,192,23,0.119791666666667,"1990s",11.9791666666667
"31","BDI","skin",29.283333,-3,1979,80,9,0.1125,"1970s",11.25
"32","BDI","skin",29.343333,-2.88,1979,16,1,0.0625,"1970s",6.25
"33","BDI","skin",29.4,-3.078333,1979,21,1,0.0476190476190476,"1970s",4.76190476190476
"34","BDI","skin",29.443333,-3.056667,1979,48,4,0.0833333333333333,"1970s",8.33333333333333
"35","BDI","skin",29.445833,-3.945833,1979,57,2,0.0350877192982456,"1970s",3.50877192982456
"36","BDI","skin",29.445833,-3.427778,1979,27,4,0.148148148148148,"1970s",14.8148148148148
"37","BDI","skin",29.45,-4,1979,124,8,0.0645161290322581,"1970s",6.45161290322581
"38","BDI","ss",29.29626,-3.122925,1990,161,75,0.46583850931677,"1990s",46.583850931677
"39","BDI","ss",29.484354,-4.042144,1988,160,85,0.53125,"1980s",53.125
"40","BDI","ss",29.5138889,-3.887222,1993,192,26,0.135416666666667,"1990s",13.5416666666667
"41","BFA","eye",-4.8166666,11.316666,1975,254,77,0.303149606299213,"1970s",30.3149606299213
"42","BFA","eye",-4.8166666,11.316666,1978,187,53,0.283422459893048,"1970s",28.3422459893048
"43","BFA","eye",-4.716666,11.06666,1975,1092,187,0.171245421245421,"1970s",17.1245421245421
"44","BFA","eye",-4.716666,11.06666,1976,930,126,0.135483870967742,"1970s",13.5483870967742
"45","BFA","eye",-4.716666,11.06666,1981,614,64,0.104234527687296,"1980s",10.4234527687296
"46","BFA","eye",-4.436567,11.210607,1977,2268,178,0.0784832451499118,"1970s",7.84832451499118
"47","BFA","eye",-3.255829,10.762127,1975,74,31,0.418918918918919,"1970s",41.8918918918919
"48","BFA","eye",-3.255829,10.762127,1978,69,25,0.36231884057971,"1970s",36.231884057971
"49","BFA","eye",-3.2,10.716666,1976,285,59,0.207017543859649,"1970s",20.7017543859649
"50","BFA","eye",-3.2,10.716666,1981,267,27,0.101123595505618,"1980s",10.1123595505618
"51","BFA","eye",-3.133333,10.76666,1976,663,210,0.316742081447964,"1970s",31.6742081447964
"52","BFA","eye",-3.133333,10.76666,1981,861,182,0.211382113821138,"1980s",21.1382113821138
"53","BFA","eye",-3.13333,10.76666,1975,156,102,0.653846153846154,"1970s",65.3846153846154
"54","BFA","eye",-3.13333,10.76666,1978,151,92,0.609271523178808,"1970s",60.9271523178808
"55","BFA","eye",-0.6833333,11.53333,1976,860,235,0.273255813953488,"1970s",27.3255813953488
"56","BFA","eye",-0.6833333,11.53333,1981,852,142,0.166666666666667,"1980s",16.6666666666667
"57","BFA","nod",-3.016666,10.683333,1980,483,257,0.532091097308489,"1980s",53.2091097308489
"58","BFA","ss",-5.236935,10.617483,1989,5136,50,0.00973520249221184,"1980s",0.973520249221184
"59","BFA","ss",-4.866967,10.78367,1989,457,10,0.0218818380743982,"1980s",2.18818380743982
"60","BFA","ss",-4.809088,10.72517,1989,315,7,0.0222222222222222,"1980s",2.22222222222222
"61","BFA","ss",-4.808535,10.640026,1989,487,1,0.00205338809034908,"1980s",0.205338809034908
"62","BFA","ss",-4.716666,11.06666,1975,468,330,0.705128205128205,"1970s",70.5128205128205
"63","BFA","ss",-4.436567,11.210607,1977,1016,557,0.548228346456693,"1970s",54.8228346456693
"64","BFA","ss",-3.409606,10.853923,1989,5062,86,0.0169893322797313,"1980s",1.69893322797313
"65","BFA","ss",-3.289691,10.878271,1996,1045,32,0.030622009569378,"1990s",3.0622009569378
